,Region,Country,City,Month,AvgTemperature_C
102,Africa,Gambia,Banjul,7,27.370524674344708
103,Africa,Gambia,Banjul,8,26.864845523407077
104,Africa,Gambia,Banjul,9,27.006013795381698
105,Africa,Gambia,Banjul,10,27.825604972414332
106,Africa,Gambia,Banjul,11,26.629098354091475
107,Africa,Gambia,Banjul,12,24.826319194438764
108,Africa,Guinea,Conakry,1,27.479221536476093
109,Africa,Guinea,Conakry,2,27.79741139246584
110,Africa,Guinea,Conakry,3,28.32283347976029
111,Africa,Guinea,Conakry,4,28.53318136506542
112,Africa,Guinea,Conakry,5,28.549440510285155
113,Africa,Guinea,Conakry,6,27.37099961787796
114,Africa,Guinea,Conakry,7,26.250568643322882
115,Africa,Guinea,Conakry,8,25.86162501534601
116,Africa,Guinea,Conakry,9,26.58859142682414
117,Africa,Guinea,Conakry,10,27.33357195170088
118,Africa,Guinea,Conakry,11,28.187738553961346
119,Africa,Guinea,Conakry,12,27.927649654338524
120,Africa,Guinea-Bissau,Bissau,1,26.464243710994186
121,Africa,Guinea-Bissau,Bissau,2,27.724063068345522
122,Africa,Guinea-Bissau,Bissau,3,28.61359922932503
123,Africa,Guinea-Bissau,Bissau,4,29.08526447046054
124,Africa,Guinea-Bissau,Bissau,5,29.09299755401906
125,Africa,Guinea-Bissau,Bissau,6,28.97698073531407
126,Africa,Guinea-Bissau,Bissau,7,27.499691855337012
127,Africa,Guinea-Bissau,Bissau,8,26.917520114294312
128,Africa,Guinea-Bissau,Bissau,9,27.51016510495678
129,Africa,Guinea-Bissau,Bissau,10,28.660720068286484
130,Africa,Guinea-Bissau,Bissau,11,28.530825298067942
131,Africa,Guinea-Bissau,Bissau,12,26.50852633030052
132,Africa,Ivory Coast,Abidjan,1,27.167773182611892
133,Africa,Ivory Coast,Abidjan,2,28.04672992716096
134,Africa,Ivory Coast,Abidjan,3,28.2571188309898
135,Africa,Ivory Coast,Abidjan,4,28.245366127833524
136,Africa,Ivory Coast,Abidjan,5,27.667619554228953
137,Africa,Ivory Coast,Abidjan,6,26.282780973991123
138,Africa,Ivory Coast,Abidjan,7,25.303150225962284
139,Africa,Ivory Coast,Abidjan,8,24.616126045400236
140,Africa,Ivory Coast,Abidjan,9,24.895584675254966
141,Africa,Ivory Coast,Abidjan,10,26.459068100358422
142,Africa,Ivory Coast,Abidjan,11,27.353317010686574
143,Africa,Ivory Coast,Abidjan,12,27.286698695699396
144,Africa,Kenya,Nairobi,1,20.79271002404512
145,Africa,Kenya,Nairobi,2,21.5238376006785
146,Africa,Kenya,Nairobi,3,21.50150212131636
147,Africa,Kenya,Nairobi,4,20.38883905706532
148,Africa,Kenya,Nairobi,5,19.420944795067182
149,Africa,Kenya,Nairobi,6,18.218025359104008
150,Africa,Kenya,Nairobi,7,17.6138670731136
151,Africa,Kenya,Nairobi,8,17.92651903055129
152,Africa,Kenya,Nairobi,9,19.210458359269634
153,Africa,Kenya,Nairobi,10,20.158426724931314
154,Africa,Kenya,Nairobi,11,19.701425264550263
155,Africa,Kenya,Nairobi,12,19.97660923876531
156,Africa,Madagascar,Antananarivo,1,20.945358882455658
157,Africa,Madagascar,Antananarivo,2,21.327629152456737
158,Africa,Madagascar,Antananarivo,3,21.0448954599761
159,Africa,Madagascar,Antananarivo,4,20.036549857549858
160,Africa,Madagascar,Antananarivo,5,17.83538967006709
161,Africa,Madagascar,Antananarivo,6,15.468776435856146
162,Africa,Madagascar,Antananarivo,7,14.584334190431663
163,Africa,Madagascar,Antananarivo,8,15.251320710612438
164,Africa,Madagascar,Antananarivo,9,16.802135802469135
165,Africa,Madagascar,Antananarivo,10,18.759557945041816
166,Africa,Madagascar,Antananarivo,11,20.049632716049384
167,Africa,Madagascar,Antananarivo,12,20.698213339566777
168,Africa,Malawi,Lilongwe,1,22.028885759799742
169,Africa,Malawi,Lilongwe,2,21.73350762689843
170,Africa,Malawi,Lilongwe,3,21.801294305057745
171,Africa,Malawi,Lilongwe,4,20.91869488536155
172,Africa,Malawi,Lilongwe,5,19.808926437958696
173,Africa,Malawi,Lilongwe,6,18.12231040564374
174,Africa,Malawi,Lilongwe,7,17.227163338453657
175,Africa,Malawi,Lilongwe,8,18.437870512601695
176,Africa,Malawi,Lilongwe,9,21.401814373897704
177,Africa,Malawi,Lilongwe,10,24.040400807873922
178,Africa,Malawi,Lilongwe,11,24.47076646090535
179,Africa,Malawi,Lilongwe,12,22.54438755191443
180,Africa,Mauritania,Nouakchott,1,21.674443906439
181,Africa,Mauritania,Nouakchott,2,22.92673991287185
182,Africa,Mauritania,Nouakchott,3,23.929555017212806
183,Africa,Mauritania,Nouakchott,4,24.328337202250246
184,Africa,Mauritania,Nouakchott,5,25.452349582784358
185,Africa,Mauritania,Nouakchott,6,26.591443419704294
186,Africa,Mauritania,Nouakchott,7,27.148330743344403
187,Africa,Mauritania,Nouakchott,8,28.461288568581693
188,Africa,Mauritania,Nouakchott,9,29.499920582637973
189,Africa,Mauritania,Nouakchott,10,28.81149554045767
190,Africa,Mauritania,Nouakchott,11,25.862201797129334
191,Africa,Mauritania,Nouakchott,12,22.727589610794375
192,Africa,Morocco,Rabat,1,11.868593879239041
193,Africa,Morocco,Rabat,2,12.63099448444276
194,Africa,Morocco,Rabat,3,14.590521091811414
195,Africa,Morocco,Rabat,4,16.118017094017095
196,Africa,Morocco,Rabat,5,18.567759856630826
197,Africa,Morocco,Rabat,6,20.956552469135804
198,Africa,Morocco,Rabat,7,22.42014336917563
199,Africa,Morocco,Rabat,8,23.004059139784946
200,Africa,Morocco,Rabat,9,21.601228395061728
201,Africa,Morocco,Rabat,10,19.378924731182796
202,Africa,Morocco,Rabat,11,15.206716049382715
203,Africa,Morocco,Rabat,12,13.083203729676379
204,Africa,Mozambique,Maputo,1,26.871972761927182
205,Africa,Mozambique,Maputo,2,27.000935885842186
206,Africa,Mozambique,Maputo,3,26.25892069101746
207,Africa,Mozambique,Maputo,4,24.234184804192054
208,Africa,Mozambique,Maputo,5,22.14002664560519
209,Africa,Mozambique,Maputo,6,20.37068010156779
210,Africa,Mozambique,Maputo,7,19.715399377127987
