,Region,country,city,hebergement,nutrition,transport,divertissement,Month,AvgTemperature_C,Population,Density
0,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,1,-3.325478356768679,21600841.03,49.96523682
1,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,2,-0.4138937307902825,21600841.03,49.96523682
2,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,3,5.113534601599119,21600841.03,49.96523682
3,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,4,11.54396866096866,21600841.03,49.96523682
4,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,5,17.470248528547963,21600841.03,49.96523682
5,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,6,22.096345679012344,21600841.03,49.96523682
6,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,7,25.067096774193548,21600841.03,49.96523682
7,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,8,25.81061230585424,21600841.03,49.96523682
8,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,9,20.87398456790124,21600841.03,49.96523682
9,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,10,13.923010752688173,21600841.03,49.96523682
10,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,11,6.215524691358025,21600841.03,49.96523682
11,Asia,South Korea,Seoul,47.50216666666667,7.961111111111112,9.623333333333331,52.8,12,-1.1069440548542933,21600841.03,49.96523682
12,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,1,5.217008547008548,24472119.1,86.06501752
13,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,2,6.909885478506167,24472119.1,86.06501752
14,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,3,10.988643507030604,24472119.1,86.06501752
15,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,4,16.32537321937322,24472119.1,86.06501752
16,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,5,21.438156419446745,24472119.1,86.06501752
17,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,6,24.784441358024687,24472119.1,86.06501752
18,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,7,29.27677419354838,24472119.1,86.06501752
19,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,8,28.906000597371563,24472119.1,86.06501752
20,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,9,25.00839814814816,24472119.1,86.06501752
21,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,10,19.887598566308245,24472119.1,86.06501752
22,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,11,13.898972222222222,24472119.1,86.06501752
23,Asia,China,Shanghai,51.4675,5.12037037037037,6.891666666666667,57.73,12,7.488963170744378,24472119.1,86.06501752
24,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,1,14.392415219189411,40589878.1,68.2774119
25,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,2,16.074137088964676,40589878.1,68.2774119
26,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,3,18.952448304383783,40589878.1,68.2774119
27,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,4,23.03798575498576,40589878.1,68.2774119
28,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,5,26.485383236834853,40589878.1,68.2774119
29,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,6,28.473080246913582,40589878.1,68.2774119
30,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,7,29.49125448028673,40589878.1,68.2774119
31,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,8,29.351233572281966,40589878.1,68.2774119
32,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,9,28.170870370370373,40589878.1,68.2774119
33,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,10,25.3894623655914,40589878.1,68.2774119
34,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,11,20.725040123456782,40589878.1,68.2774119
35,Asia,China,Guangzhou,23.17516666666667,3.81037037037037,6.3933333333333335,38.51,12,15.82588086333177,40589878.1,68.2774119
36,Asia,Bangladesh,Dhaka,6.5495833333333335,2.891851851851852,4.056666666666668,25.015714285714285,1,18.34910187383306,84623.97852,2.314060553
37,Asia,Bangladesh,Dhaka,6.5495833333333335,2.891851851851852,4.056666666666668,25.015714285714285,1,18.34910187383306,23942350.03,36.23242664
38,Asia,Bangladesh,Dhaka,6.5495833333333335,2.891851851851852,4.056666666666668,25.015714285714285,2,22.17577131255292,84623.97852,2.314060553
39,Asia,Bangladesh,Dhaka,6.5495833333333335,2.891851851851852,4.056666666666668,25.015714285714285,2,22.17577131255292,23942350.03,36.23242664
40,Asia,Bangladesh,Dhaka,6.5495833333333335,2.891851851851852,4.056666666666668,25.015714285714285,3,26.72644147469416,84623.97852,2.314060553
